density	radius_of_gyration	surface_area_to_volume_ratio	sphericity	euler_characteristic	inradius	circumradius	hydrodynamic_radius	sequence_length	avg_plddt	hull_presence
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.822039587793094	15.659205436706543	0.1717947594632875	0.9149007440155777	2.0	15.176469802856445	30.68790626525879	19.086986320352615	411.0	94.24186067827681	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.3812456485556323	36.37208557128906	0.06360360295865886	0.9045361874721182	2.0	46.04010009765625	76.13198852539062	52.14511032476527	3927.0	83.69820500387898	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.1932464963657615	33.288482666015625	0.09044543151933383	0.8770276783130304	2.0	26.40167808532715	62.63684844970703	37.81998219043769	789.0	70.6116983016983	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.2876122120331705	31.732633590698242	0.07667603679573486	0.8602832113099875	2.0	34.23737716674805	85.98643493652344	45.47996795373264	1929.0	89.44986460348163	1.0
0.37023071683379866	27.11829376220703	0.12734004044442027	0.8125401024109558	2.0	22.258766174316406	65.63285064697266	28.994222460385153	654.0	86.08537391304347	1.0
0.23365157144119583	40.622745513916016	0.09169666314625316	0.8202569588696849	2.0	34.2818489074707	94.650634765625	39.88575334831013	1017.0	76.56946921443738	2.0
0.2725029662166912	51.499488830566406	0.0493396142040071	0.9273549119035531	2.0	54.110572814941406	85.7229232788086	65.56612672322494	5604.0	74.02720329745198	2.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.6707249291296328	20.17095375061035	0.1320442819000865	0.8950169226441692	2.0	21.405805587768555	44.58430862426758	25.38460493340797	810.0	87.34208034433286	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
